id_mutation,nom_station,distance_station_plus_proche
2022-1622510,Gare de l'Est,142.16280640787517
2022-1622522,Porte de Pantin,204.4773312444761
2022-1622531,Cadet,324.04253810614966
2022-1622533,Rosa Parks,290.40465839801595
2022-1622536,Porte de Pantin,45.1252637073377
2022-1622559,Place des Fêtes,300.28383937350696
2022-1622564,Porte de Clignancourt,88.42483791509791
2022-1622568,Marie de Miribel,297.1258231304109
2022-1622581,Maraîchers,203.7508749928212
2022-1622584,Grands Boulevards,176.0000053937604
2022-1622586,Alexandre Dumas,223.08668103866543
2022-1622588,Malesherbes,134.52349923610947
2022-1622594,Rambuteau,159.6666130024871
2022-1622601,Place des Fêtes,130.16020800464844
2022-1622602,Crimée,102.25925541018003
2022-1622606,Abbesses,31.235762944873635
2022-1622609,Simplon,139.9359452803473
2022-1622628,Couronnes,114.18962695973495
2022-1622629,Stalingrad,143.0930382127116
2022-1622633,Hôpital Robert Debré,252.30634293307514
2022-1622651,Marcadet-Poissonniers,174.40028282795475
2022-1622664,Porte de Champerret,235.3553430756498
2022-1622681,Marcadet-Poissonniers,77.19961913826765
2022-1622691,Ménilmontant,102.86833769883918
2022-1622693,Rambuteau,233.13738867177227
2022-1622705,Saint-Fargeau,178.34725412830727
2022-1622708,Château d'Eau,220.98707094914707
2022-1622720,Pyrénées,306.88619004228246
2022-1622727,Crimée,159.97602553402973
2022-1622737,Marx Dormoy,200.7127790503424
2022-1622737,Marx Dormoy,200.7127790503424
2022-1622738,Strasbourg-Saint-Denis,107.69768335651973
2022-1622748,Jacques Bonsergent,170.0898146759817
2022-1622750,Buttes-Chaumont,208.7865876668358
2022-1622754,Place de Clichy,64.94312370385555
2022-1622755,Rosa Parks,295.2038102759498
2022-1622761,Porte de la Chapelle,376.7820684833841
2022-1622775,Porte de la Chapelle,363.4047237855992
2022-1622783,Marie de Miribel,51.891939863363476
2022-1622801,Château d'Eau,76.56220255908676
2022-1622803,Bolivar,54.38176100848294
2022-1622805,Honoré de Balzac,86.86648363200703
2022-1622807,Jules Joffrin,212.29009921120758
2022-1622808,Bonne Nouvelle,137.2363526992839
