id_mutation,nom_ev,distance_parc_plus_proche
2022-1622206,SQUARE RUE PETIT,204.31127181939445
2022-1622210,SQUARE EMILY DICKINSON,70.94595222078809
2022-1622217,SQUARE DU PASSAGE LEON,254.08743407358207
2022-1622218,SQUARE DAMPIERRE - ROUVET,307.901755238243
2022-1622226,JARDIN D'IMMEUBLES GRENADE,29.93513784254728
2022-1622234,JARDIN PAULE MINCK,150.40987115928556
2022-1622236,SQUARE ALEXIS CLEREL DE TOCQUEVILLE,318.222809936509
2022-1622238,SQUARE DES DEUX NETHES,270.9222511118132
2022-1622251,SQUARE EDOUARD VAILLANT,193.22081261409807
2022-1622263,SQUARE OLAVE ET ROBERT BADEN-POWELL,198.91327583109353
2022-1622265,SQUARE D'ANVERS-JEAN-CLAUDE CARRIERE,133.85715744698172
2022-1622271,SQUARE DE LA RUE HENRI HUCHARD,266.757458855995
2022-1622279,SQUARE ERNEST CHAUSSON,209.77351514381735
2022-1622297,SQUARE DU DOCTEUR J. J. GRANCHER,152.55185422625033
2022-1622313,SQUARE SERGE REGGIANI,149.70426064355064
2022-1622316,SQUARE NADAR,136.10935962454113
2022-1622328,SQUARE LOUISE DE MARILLAC,85.64245480900655
2022-1622334,JARDIN FRANCOISE HELENE JOURDA,289.34584888427077
2022-1622337,JARDINS ROSA LUXEMBURG,125.94442203139636
2022-1622339,SQUARE RAYMOND QUENEAU,247.04739808410073
2022-1622340,JARDIN LUC HOFFMANN,195.0122801968441
2022-1622340,JARDIN LUC HOFFMANN,195.0122801968441
2022-1622342,SQUARE MONTHOLON,161.47410725815737
2022-1622362,JARDIN PAULE MINCK,142.3350050928727
2022-1622365,SQUARE DES BATIGNOLLES,407.17075020773797
2022-1622367,SQUARE YILMAZ GUNEY,268.85905419373023
2022-1622368,JARDIN DE VITALY,118.018977690014
2022-1622376,PARC MONCEAU,343.67959948293276
2022-1622378,SQUARE EMILY DICKINSON,332.22102618204224
2022-1622379,JARDIN LEON ZYGUEL,68.23487915089366
2022-1622380,SQUARE RAYMOND SOUPLEX,212.58670622645914
2022-1622382,PARC MONCEAU,343.67959948293276
2022-1622392,PROMENADE PEREIRE - BAYEN / LEBON,308.8002986029733
2022-1622408,SQUARE EDOUARD VAILLANT,237.86047063955678
2022-1622411,SQUARE DAMPIERRE - ROUVET,366.45979450467985
2022-1622417,SQUARE DES SAINTS-SIMONIENS - MENILMONTANT,69.81421700073321
2022-1622424,JARDIN MARIA VERONE,219.71915276136878
2022-1622432,JARDIN DE LA RUE COMPANS,394.7179384720209
2022-1622434,JARDIN CROMOT-DU BOURG,275.3386896651335
2022-1622440,SQUARE DU PASSAGE LEON,382.30728064222797
2022-1622444,JARDINS ROSA LUXEMBURG,152.1455256166855
2022-1622452,SQUARE YILMAZ GUNEY,364.3128115637954
2022-1622457,SQUARE LOUVOIS,201.80649233612
2022-1622468,SQUARE EUGENE VARLIN,369.43669883357313
2022-1622474,JARDIN PAULE MINCK,439.48463299862243
2022-1622478,JARDIN PIXERECOURT,116.45970432238474
2022-1622489,SQUARE ARISTIDE CAVAILLE-COLL,155.64169302647156
2022-1622502,JARDIN D'EOLE,302.51412137270177
2022-1622510,JARDIN MARIELLE-FRANCO,295.8590525959025
2022-1622522,JARDIN D'IMMEUBLES GRENADE,74.36695004166403
2022-1622531,JARDIN CROMOT-DU BOURG,374.2282668998633
2022-1622533,PROMENADE RUE D'AUBERVILLIERS,226.1054783702369
2022-1622536,SQUARE DU PETIT BOIS,267.48787706347076
2022-1622559,JARDIN LEON ZYGUEL,143.49736000904625
2022-1622564,SQUARE SAINTE-HELENE,182.09770537520117
2022-1622568,JARDIN DES RUES DES ORTEAUX - CROIX SAINT-SIMON,99.54837781397475
2022-1622581,JARDIN DES RUES DES ORTEAUX - CROIX SAINT-SIMON,345.3041974365195
2022-1622584,JARDIN DE LA MAIRIE DU IXEME,226.03256628516806
2022-1622586,JARDIN DAMIA,331.37434549596134
2022-1622588,SQUARE ALEXIS CLEREL DE TOCQUEVILLE,436.0217979814279
2022-1622594,JARDIN ANNE FRANK (HOTEL SAINT-AIGNAN),66.07962464843024
2022-1622601,JARDIN DE LA RUE COMPANS,241.7411531628893
2022-1622602,ESPACE VERT DE LA PLACE DE L'EDIT DE NANTES,358.76446218636954
2022-1622606,SQUARE JEHAN RICTUS,66.77350870000365
2022-1622609,SQUARE MAURICE KRIEGEL-VALRIMONT DIT SQUARE DE CLIGNANCOURT,245.82388935627483
2022-1622628,JARDIN GABRIELE BUFFET,313.0696406254699
2022-1622629,JARDIN D'EOLE,279.66404867486125
2022-1622633,JARDIN DE NOTRE DAME DE FATIMA,240.75492650419295
2022-1622651,SQUARE MAURICE KRIEGEL-VALRIMONT DIT SQUARE DE CLIGNANCOURT,193.18442842689532
2022-1622664,SQUARE OLAVE ET ROBERT BADEN-POWELL,198.91327583109353
2022-1622681,JARDIN DE LA RUE DU SIMPLON (JARDIN D'ENFANTS),315.55899429455354
2022-1622691,JARDIN DES RUES MARONITES - PRESSOIR,148.84961836744435
2022-1622693,JARDIN ANNE FRANK (HOTEL SAINT-AIGNAN),161.77627775709578
2022-1622705,JARDIN PAULE MINCK,326.6778314880692
2022-1622708,JARDIN SAINT-LAZARE,245.95423629522492
2022-1622720,PARC DE BELLEVILLE,540.639123057546
2022-1622727,ESPACE VERT DE LA PLACE DE L'EDIT DE NANTES,249.76348267031324
2022-1622737,JARDIN NUSCH ELUARD,398.5431359828281
2022-1622737,JARDIN NUSCH ELUARD,398.5431359828281
2022-1622738,SQUARE EMILE CHAUTEMPS,137.85430804403885
2022-1622748,SQUARE DES RECOLLETS,369.4930408316547
2022-1622750,PARC DES BUTTES CHAUMONT,458.6507902536426
2022-1622754,SQUARE DES DEUX NETHES,143.6695347587623
2022-1622755,SQUARE DE LA RUE CURIAL,221.3138114633645
2022-1622761,SQUARE RAYMOND QUENEAU,173.79715450539518
2022-1622775,SQUARE PAUL ROBIN,186.28844838346947
2022-1622783,SQUARE LOUIS LUMIERE (CENTRE HANDISPORT),282.077715509833
2022-1622801,SQUARE SAINT-LAURENT,391.60722939653687
2022-1622803,SQUARE MARCEL MOULOUDJI,682.1307765893084
2022-1622805,SQUARE ERNEST GOUIN,133.36213951176836
2022-1622807,PARC MARCEL BLEUNSTEIN-BLANCHET DIT PARC DE LA TURLURE,302.4431984038797
2022-1622808,SQUARE YILMAZ GUNEY,42.11699868111732
2022-1622820,PARC DE BELLEVILLE,198.2946108641716
2022-1622835,JARDIN CROMOT-DU BOURG,156.11856991654054
2022-1622842,SQUARE RUE PETIT,220.9069913719912
2022-1622847,SQUARE DU PASSAGE LEON,117.83485933096082
2022-1622849,JARDIN HENRI SAUVAGE,166.7995395223077
2022-1622859,JARDIN DE LA MAIRIE DU VIIIEME,293.82512933350677
2022-1622873,SQUARE HELENE,318.32241713317956
2022-1622876,PROMENADE PC 19 - THIONVILLE - JAURES,455.1236501599467
2022-1622881,SQUARE JEHAN RICTUS,254.88114214254736
2022-1622886,JARDIN DE L'ILOT RIQUET,287.5975381808308
2022-1622891,JARDIN PIERRE SEGHERS,437.1825548613189
2022-1622893,JARDINS ROSA LUXEMBURG,151.4861415016184
2022-1622897,PARC DE BELLEVILLE,198.2946108641716
2022-1622904,JARDIN CASQUE D'OR,349.1856560003977
2022-1622905,JARDIN CASQUE D'OR,349.1856560003977
2022-1622907,TERRAIN DE BOULES AVENUE JUNOT,225.53187014711685
2022-1622908,SQUARE YILMAZ GUNEY,97.8534685993256
2022-1622938,SQUARE DE LA RUE CURIAL,417.8818399195425
2022-1622939,ESPACE VERT DE LA PLACE DE L'EDIT DE NANTES,250.1016565972895
2022-1622940,SQUARE LOUISE MICHEL,158.58524849600207
2022-1622955,JARDIN LUC HOFFMANN,522.7171489183227
2022-1622958,JARDIN DES OISEAUX,152.4680572229721
2022-1622960,JARDIN HEROLD,281.24701040302944
2022-1622975,JARDIN CASQUE D'OR,402.94694738701884
2022-1622980,SQUARE DE LA VILLA SAINTE-CROIX,212.97771681994578
2022-1622984,JARDIN DE LA BIBLIOTHEQUE THIERS (FONDATION DOSNE),219.244146023779
2022-1622986,SQUARE MAURICE KRIEGEL-VALRIMONT DIT SQUARE DE CLIGNANCOURT,303.32825139921715
2022-1622987,SQUARE ARISTIDE CAVAILLE-COLL,317.5853873609635
2022-1622994,SQUARE DES BATIGNOLLES,442.40750948829793
2022-1622996,ESPACE VERT DE LA PLACE DE L'EDIT DE NANTES,250.1016565972895
2022-1623004,JARDIN FRANCOISE HELENE JOURDA,88.20466398980507
2022-1623005,JARDINS ROSA LUXEMBURG,289.0308429451311
2022-1623008,JARDIN FRANCOISE HELENE JOURDA,256.77909371898625
2022-1623011,SQUARE DU PASSAGE LEON,481.2230444311603
2022-1623014,SQUARE DU PASSAGE MONCEY,331.629602532917
2022-1623024,SQUARE DAMPIERRE - ROUVET,212.0575625749328
2022-1623042,JARDIN DES RUES MARONITES - PRESSOIR,174.04218147775813
2022-1623044,SQUARE DES SAINTS-SIMONIENS - MENILMONTANT,213.1408033083057
2022-1623047,SQUARE SERGE REGGIANI,277.2300821921087
2022-1623049,JARDIN DE LA MAIRIE DU VIIIEME,399.727426518356
2022-1623052,SQUARE YILMAZ GUNEY,309.911153138993
2022-1623053,JARDIN PIXERECOURT,142.8072026119613
2022-1623069,JARDIN D'EOLE,431.319163955133
2022-1623069,JARDIN D'EOLE,431.319163955133
2022-1623070,SQUARE EMILE CHAUTEMPS,338.5402355677392
2022-1623071,SQUARE EMILE CHAUTEMPS,338.5402355677392
2022-1623074,SQUARE DU PASSAGE MONCEY,343.0376987427523
2022-1623081,SQUARE SAINTE-HELENE,128.0001750587135
2022-1623086,SQUARE LOUIS XVI,229.81201034043198
2022-1623092,SQUARE FREDERIC LEMAITRE,353.6534462797268
2022-1623095,PROMENADE PEREIRE - GUERSANT / TERNES,101.36546652265243
2022-1623098,SQUARE JEROME BELLAT,60.55361066873818
2022-1623114,SQUARE MARCEL SEMBAT,207.9983208127597
2022-1623120,JARDIN DE LA BIBLIOTHEQUE THIERS (FONDATION DOSNE),241.72685316048972
2022-1623121,SQUARE PAUL ROBIN,186.28844838346947
2022-1623142,SQUARE HELENE,129.44249525057052
2022-1623152,SQUARE JULIETTE DODU,282.7305185720253
2022-1623155,SQUARE DES EPINETTES,300.7980648086373
2022-1623169,ESPACE VERT DE LA PLACE DE L'EDIT DE NANTES,179.5168492474521
2022-1623172,JARDIN NUSCH ELUARD,398.5431359828281
2022-1623178,SQUARE EMILE CHAUTEMPS,280.02681872756983
2022-1623180,JARDIN PAUL DIDIER,414.9423886912309
2022-1623193,JARDIN DU VER TETU,338.6406614234754
2022-1623196,JARDIN DE L'ILOT RIQUET,287.5975381808308
2022-1623210,PROMENADE DU COURS ALBERT 1ER,377.33399491465593
2022-1623227,ESPACE VERT DE LA PLACE DE L'EDIT DE NANTES,179.5168492474521
2022-1623227,ESPACE VERT DE LA PLACE DE L'EDIT DE NANTES,179.5168492474521
2022-1623230,PROMENADE PC 19 - THIONVILLE - JAURES,230.69187565306515
2022-1623232,JARDIN DAMIA,292.346220098828
